"NTOT","prot","STRAT","ADMIN","n"
13096,0,"AGRFDEEP","OPEN",69
525,1,"AGRFDEEP","NPS",29
120,2,"AGRFDEEP","STEER",25
1749,0,"AGRFSHLW","OPEN",19
506,1,"AGRFSHLW","NPS",31
260,2,"AGRFSHLW","STEER",12
257,0,"BDRKDEEP","OPEN",1
9,1,"BDRKDEEP",NA,0
1,2,"BDRKDEEP",NA,0
2614,0,"BDRKSHLW","OPEN",14
434,1,"BDRKSHLW","NPS",13
253,2,"BDRKSHLW","STEER",13
1129,0,"PTRFDEEP","OPEN",9
364,1,"PTRFDEEP","NPS",12
51,2,"PTRFDEEP","STEER",6
177,0,"PTRFSHLW","OPEN",3
168,1,"PTRFSHLW","NPS",5
94,2,"PTRFSHLW","STEER",4
16201,0,"PVMTDEEP","OPEN",24
3076,1,"PVMTDEEP","NPS",6
151,2,"PVMTDEEP","STEER",4
4064,0,"PVMTSHLW","OPEN",9
1299,1,"PVMTSHLW","NPS",1
334,2,"PVMTSHLW","STEER",6
2329,0,"SCRDEEP","OPEN",7
145,1,"SCRDEEP","NPS",4
26,2,"SCRDEEP","STEER",2
742,0,"SCRSHLW","OPEN",4
292,1,"SCRSHLW","NPS",4
101,2,"SCRSHLW","STEER",4
