"YEAR","PRIMARY_SAMPLE_UNIT","ADMIN","PROT","lat","lon"
2025,5000,"OPEN",0,18.2039,-64.72695
2025,5001,"OPEN",0,18.1992,-64.73347
2025,5002,"OPEN",0,18.23424,-64.66033
2025,5003,"OPEN",0,18.22714,-64.66469
2025,5004,"OPEN",0,18.26227,-64.86673
2025,5005,"OPEN",0,18.23384,-64.84694
2025,5006,"OPEN",0,18.24745,-64.82126
2025,5007,"OPEN",0,18.26036,-64.94032
2025,5008,"OPEN",0,18.25079,-64.82793
2025,5009,"OPEN",0,18.24965,-64.82745
2025,5011,"OPEN",0,18.26003,-65.00707
2025,5012,"OPEN",0,18.24653,-64.826
2025,5013,"VICR",0,18.30704,-64.73955
2025,5014,"VICR",0,18.31033,-64.73703
2025,5015,"VICR",0,18.30897,-64.73651
2025,5016,"VICR",0,18.26996,-64.72186
2025,5017,"VICR",0,18.27153,-64.72399
2025,5018,"OPEN",0,18.26991,-64.7247
2025,5019,"OPEN",0,18.291,-65.1014
2025,5020,"OPEN",0,18.26379,-65.09643
2025,5021,"OPEN",0,18.31,-65.14157
2025,5022,"OPEN",0,18.26374,-65.09638
2025,5023,"OPEN",0,18.29694,-65.14115
2025,5024,"OPEN",0,18.28291,-65.13516
2025,5025,"OPEN",0,18.25035,-65.08955
2025,5026,"OPEN",0,18.31205,-65.13545
2025,5027,"OPEN",0,18.31048,-65.14303
2025,5028,"OPEN",0,18.2889,-65.14514
2025,5029,"OPEN",0,18.29478,-65.13875
2025,5030,"OPEN",0,18.25455,-65.1102
2025,5031,"OPEN",0,18.28445,-65.10045
2025,5032,"OPEN",0,18.30063,-65.11755
2025,5033,"OPEN",0,18.24645,-65.10133
2025,5034,"OPEN",0,18.25196,-65.11475
2025,5035,"OPEN",0,18.33239,-64.67992
2025,5036,"OPEN",0,18.32128,-64.65525
2025,5037,"OPEN",0,18.36214,-64.81636
2025,5038,"OPEN",0,18.32836,-64.66869
2025,5039,"OPEN",0,18.32374,-64.67817
2025,5041,"VICR",0,18.36984,-64.67798
2025,5042,"VICR",0,18.33952,-64.68932
2025,5043,"VICR",0,18.35081,-64.70037
2025,5044,"VICR",0,18.33366,-64.68956
2025,5045,"VICR",0,18.34349,-64.68502
2025,5046,"VICR",0,18.35718,-64.67692
2025,5047,"VIIS",0,18.34019,-64.79409
2025,5048,"VIIS",0,18.30903,-64.72331
2025,5049,"VIIS",0,18.361,-64.7588
2025,5050,"VIIS",0,18.36033,-64.76698
2025,5051,"VIIS",0,18.36347,-64.77591
2025,5052,"VIIS",0,18.30708,-64.72229
2025,5053,"VIIS",0,18.30368,-64.71139
2025,5054,"VIIS",0,18.36178,-64.75834
2025,5055,"VIIS",0,18.36343,-64.77623
2025,5056,"VIIS",0,18.35118,-64.78338
2025,5057,"OPEN",0,18.30306,-64.99944
2025,5059,"OPEN",0,18.27297,-64.89738
2025,5060,"OPEN",0,18.27919,-64.96104
2025,5061,"OPEN",0,18.31128,-64.99845
2025,5063,"OPEN",0,18.37272,-65.02639
2025,5064,"OPEN",0,18.32903,-64.97473
2025,5066,"OPEN",0,18.38563,-64.9882
2025,5068,"OPEN",0,18.35746,-65.05818
2025,5069,"OPEN",0,18.37711,-65.05842
2025,5070,"OPEN",0,18.31154,-64.91869
2025,5072,"OPEN",0,18.2799,-64.9552
2025,5073,"OPEN",0,18.37528,-65.05315
2025,5075,"OPEN",0,18.27452,-64.88481
2025,5077,"STEER",0,18.30849,-64.85628
2025,5078,"STEER",0,18.30212,-64.83732
2025,5079,"OPEN",0,18.34915,-64.66918
2025,5080,"OPEN",0,18.33535,-64.69895
2025,5081,"OPEN",0,18.33594,-64.68291
2025,5082,"VICR",0,18.33849,-64.69202
2025,5083,"VICR",0,18.33867,-64.69236
2025,5084,"VICR",0,18.33811,-64.69132
2025,5085,"VICR",0,18.34758,-64.69383
2025,5086,"VICR",0,18.33683,-64.68845
2025,5087,"VIIS",0,18.36002,-64.76214
2025,5088,"VIIS",0,18.31614,-64.7615
2025,5089,"VIIS",0,18.35686,-64.76559
2025,5090,"VIIS",0,18.35486,-64.78989
2025,5091,"VIIS",0,18.35434,-64.78935
2025,5092,"VIIS",0,18.35294,-64.68381
2025,5093,"OPEN",0,18.37074,-64.92781
2025,5095,"OPEN",0,18.31705,-64.94025
2025,5096,"OPEN",0,18.30061,-64.82029
2025,5097,"OPEN",0,18.39945,-64.89925
2025,5098,"OPEN",0,18.38941,-64.8987
2025,5099,"OPEN",0,18.30124,-64.87372
2025,5100,"OPEN",0,18.34362,-64.98151
2025,5101,"STEER",0,18.31003,-64.85759
2025,5102,"STEER",0,18.31886,-64.83583
2025,5104,"OPEN",0,18.3184,-64.69213
2025,5105,"VICR",0,18.33863,-64.69214
2025,5106,"VICR",0,18.34979,-64.69195
2025,5108,"VIIS",0,18.30259,-64.70952
2025,5109,"VIIS",0,18.30816,-64.71534
2025,5110,"OPEN",0,18.36707,-64.9144
2025,5111,"OPEN",0,18.32559,-64.96137
2025,5113,"OPEN",0,18.37065,-64.92139
2025,5114,"OPEN",0,18.30571,-64.88006
2025,5115,"OPEN",0,18.36381,-65.00696
2025,5116,"OPEN",0,18.30755,-64.95966
2025,5117,"OPEN",0,18.36317,-64.89896
2025,5119,"STEER",0,18.31386,-64.824
2025,5120,"VICR",0,18.30109,-64.74026
2025,5121,"VICR",0,18.29668,-64.73096
2025,5122,"VICR",0,18.3102,-64.7358
2025,5123,"VICR",0,18.30428,-64.73499
2025,5125,"OPEN",0,18.34621,-64.82536
2025,5126,"OPEN",0,18.35342,-64.83462
2025,5128,"VICR",0,18.34911,-64.69582
2025,5129,"VICR",0,18.34982,-64.69901
2025,5130,"VIIS",0,18.30697,-64.71069
2025,5131,"VIIS",0,18.36727,-64.77
2025,5132,"VIIS",0,18.31186,-64.75461
2025,5134,"OPEN",0,18.29077,-64.88221
2025,5135,"OPEN",0,18.29453,-64.81439
2025,5136,"OPEN",0,18.30784,-64.96716
2025,5137,"STEER",0,18.30732,-64.84616
2025,5138,"OPEN",0,18.34508,-64.66145
2025,5139,"OPEN",0,18.33455,-64.70409
2025,5140,"OPEN",0,18.33881,-64.66203
2025,5141,"VICR",0,18.34985,-64.69671
2025,5142,"VICR",0,18.34993,-64.69575
2025,5143,"VICR",0,18.35197,-64.69164
2025,5144,"VIIS",0,18.36209,-64.69298
2025,5145,"VIIS",0,18.36482,-64.72808
2025,5146,"VIIS",0,18.31409,-64.72196
2025,5147,"STEER",0,18.3196,-64.83601
2025,5149,"OPEN",0,18.27161,-64.85273
2025,5150,"OPEN",0,18.27998,-64.83525
2025,5151,"OPEN",0,18.27985,-64.83968
2025,5152,"VICR",0,18.30974,-64.7385
2025,5154,"VICR",0,18.2757,-64.74549
2025,5155,"VICR",0,18.28253,-64.69229
