"FREQUENCY","prot","STRAT"
13096,0,"DEEPAGRF"
525,1,"DEEPAGRF"
120,2,"DEEPAGRF"
257,0,"DEEPBDRK"
9,1,"DEEPBDRK"
1,2,"DEEPBDRK"
1129,0,"DEEPPTRF"
364,1,"DEEPPTRF"
51,2,"DEEPPTRF"
16201,0,"DEEPPVMT"
3076,1,"DEEPPVMT"
151,2,"DEEPPVMT"
2329,0,"DEEPSCR"
145,1,"DEEPSCR"
26,2,"DEEPSCR"
1749,0,"SHLWAGRF"
506,1,"SHLWAGRF"
260,2,"SHLWAGRF"
2614,0,"SHLWBDRK"
434,1,"SHLWBDRK"
253,2,"SHLWBDRK"
177,0,"SHLWPTRF"
168,1,"SHLWPTRF"
94,2,"SHLWPTRF"
4064,0,"SHLWPVMT"
1299,1,"SHLWPVMT"
334,2,"SHLWPVMT"
742,0,"SHLWSCR"
292,1,"SHLWSCR"
101,2,"SHLWSCR"
