"STRAT","ADMIN","n","prot"
"AGRFDEEP","NPS",29,1
"AGRFDEEP","OPEN",69,0
"AGRFDEEP","STEER",25,2
"AGRFSHLW","NPS",31,1
"AGRFSHLW","OPEN",19,0
"AGRFSHLW","STEER",12,2
"BDRKDEEP","OPEN",1,0
"BDRKSHLW","NPS",13,1
"BDRKSHLW","OPEN",14,0
"BDRKSHLW","STEER",13,2
"PTRFDEEP","NPS",12,1
"PTRFDEEP","OPEN",9,0
"PTRFDEEP","STEER",6,2
"PTRFSHLW","NPS",5,1
"PTRFSHLW","OPEN",3,0
"PTRFSHLW","STEER",4,2
"PVMTDEEP","NPS",6,1
"PVMTDEEP","OPEN",24,0
"PVMTDEEP","STEER",4,2
"PVMTSHLW","NPS",1,1
"PVMTSHLW","OPEN",9,0
"PVMTSHLW","STEER",6,2
"SCRDEEP","NPS",4,1
"SCRDEEP","OPEN",7,0
"SCRDEEP","STEER",2,2
"SCRSHLW","NPS",4,1
"SCRSHLW","OPEN",4,0
"SCRSHLW","STEER",4,2
