"YEAR","PRIMARY_SAMPLE_UNIT","ADMIN","PROT","MAPGRID_NR","STRAT","DEPTH_STRAT","lat","lon"
2025,4000,"BUIS",0,3155916,"PVMTDEEP","DEEP",17.80828,-64.63745
2025,4001,"BUIS",0,436245,"PVMTDEEP","DEEP",17.80933,-64.62963
2025,4002,"EEMP",0,217509,"AGRFDEEP","DEEP",17.71999,-64.55146
2025,4003,"EEMP",0,193257,"AGRFDEEP","DEEP",17.70987,-64.57606
2025,4004,"EEMP",0,189948,"AGRFDEEP","DEEP",17.7085,-64.58039
2025,4005,"EEMP",0,367982,"AGRFDEEP","DEEP",17.78094,-64.65901
2025,4007,"OPEN",0,325426,"AGRFDEEP","DEEP",17.76469,-64.49693
2025,4009,"OPEN",0,231080,"AGRFDEEP","DEEP",17.7227,-64.89523
2025,4010,"OPEN",0,343439,"AGRFDEEP","DEEP",17.76962,-64.82092
2025,4011,"OPEN",0,321670,"AGRFDEEP","DEEP",17.76141,-64.71156
2025,4012,"OPEN",0,225584,"AGRFDEEP","DEEP",17.72065,-64.89346
2025,4013,"OPEN",0,341229,"AGRFDEEP","DEEP",17.76858,-64.82561
2025,4014,"OPEN",0,383141,"AGRFDEEP","DEEP",17.78622,-64.7729
2025,4015,"SARI",0,379869,"AGRFDEEP","DEEP",17.78509,-64.75947
2025,4016,"OPEN",0,380965,"AGRFDEEP","DEEP",17.78546,-64.76126
2025,4017,"SARI",0,378771,"AGRFDEEP","DEEP",17.78458,-64.75848
2025,4018,"OPEN",0,25496,"AGRFDEEP","DEEP",17.63871,-64.83978
2025,4019,"OPEN",0,49784,"AGRFDEEP","DEEP",17.64912,-64.7982
2025,4020,"OPEN",0,42052,"AGRFDEEP","DEEP",17.64583,-64.81356
2025,4022,"OPEN",0,24350,"AGRFDEEP","DEEP",17.63814,-64.86121
2025,4023,"OPEN",0,26474,"AGRFDEEP","DEEP",17.63889,-64.89715
2025,4024,"OPEN",0,25358,"AGRFDEEP","DEEP",17.63822,-64.90466
2025,4025,"OPEN",0,110402,"PVMTDEEP","DEEP",17.67447,-64.74313
2025,4026,"OPEN",0,23168,"AGRFDEEP","DEEP",17.63734,-64.89975
2025,4027,"OPEN",0,2906904,"AGRFDEEP","DEEP",17.63554,-64.86755
2025,4028,"OPEN",0,24367,"PVMTDEEP","DEEP",17.63823,-64.85349
2025,4029,"OPEN",0,23206,"AGRFDEEP","DEEP",17.63733,-64.88211
2025,4030,"BUIS",0,401044,"PVMTSHLW","SHLW",17.79478,-64.62994
2025,4031,"BUIS",0,385681,"AGRFSHLW","SHLW",17.78876,-64.61271
2025,4032,"BUIS",0,396659,"PTRFSHLW","SHLW",17.79281,-64.6228
2025,4033,"BUIS",0,390066,"AGRFSHLW","SHLW",17.79046,-64.61977
2025,4034,"BUIS",0,395557,"AGRFSHLW","SHLW",17.79256,-64.62383
2025,4035,"EEMP",0,328469,"AGRFSHLW","SHLW",17.7652,-64.61777
2025,4039,"EEMP",0,321904,"AGRFSHLW","SHLW",17.76237,-64.60125
2025,4040,"EEMP",0,330651,"AGRFSHLW","SHLW",17.76585,-64.62642
2025,4041,"OPEN",0,315075,"AGRFSHLW","SHLW",17.75867,-64.70942
2025,4042,"OPEN",0,309578,"AGRFSHLW","SHLW",17.75647,-64.70791
2025,4043,"OPEN",0,3051976,"SCRSHLW","SHLW",17.75714,-64.71696
2025,4044,"SARI",0,3097375,"SCRSHLW","SHLW",17.78193,-64.76019
2025,4045,"SARI",0,369976,"AGRFSHLW","SHLW",17.78086,-64.75641
2025,4049,"OPEN",0,133485,"PVMTSHLW","SHLW",17.68408,-64.75126
2025,4050,"BUIS",0,385648,"BDRKSHLW","SHLW",17.78861,-64.6279
2025,4052,"EEMP",0,310930,"BDRKSHLW","SHLW",17.75802,-64.58893
2025,4054,"OPEN",0,320632,"SCRSHLW","SHLW",17.76122,-64.6827
2025,4055,"SARI",0,375482,"BDRKSHLW","SHLW",17.78337,-64.75363
2025,4056,"SARI",0,377686,"BDRKSHLW","SHLW",17.78396,-64.75151
2025,4057,"SARI",0,375482,"AGRFSHLW","SHLW",17.78337,-64.75324
2025,4061,"BUIS",0,388990,"PTRFDEEP","DEEP",17.78992,-64.60841
2025,4062,"BUIS",0,388999,"PTRFDEEP","DEEP",17.78995,-64.60385
2025,4063,"BUIS",0,396693,"PTRFDEEP","DEEP",17.79297,-64.607
2025,4064,"BUIS",0,386799,"PTRFDEEP","DEEP",17.78902,-64.60416
2025,4065,"BUIS",0,380215,"PTRFDEEP","DEEP",17.78645,-64.59668
2025,4066,"BUIS",0,394479,"PTRFDEEP","DEEP",17.79224,-64.6135
2025,4067,"BUIS",0,361520,"PTRFDEEP","DEEP",17.77867,-64.59405
2025,4068,"BUIS",0,384598,"PTRFDEEP","DEEP",17.78819,-64.60455
2025,4069,"BUIS",0,403267,"PTRFDEEP","DEEP",17.79565,-64.61924
2025,4070,"BUIS",0,382414,"PTRFDEEP","DEEP",17.78734,-64.59705
2025,4071,"BUIS",0,359296,"PTRFDEEP","DEEP",17.77779,-64.60555
2025,4073,"EEMP",0,336169,"PTRFDEEP","DEEP",17.76804,-64.61806
2025,4074,"EEMP",0,337267,"PTRFDEEP","DEEP",17.76869,-64.61871
2025,4075,"OPEN",0,371629,"PTRFDEEP","DEEP",17.78377,-64.4953
2025,4076,"OPEN",0,333092,"PTRFDEEP","DEEP",17.7677,-64.51269
