REGION,YEAR,STRAT,PROT,NTOT,GRID_SIZE,STAGE_LEVEL
STTSTJ,2025,0,AGRFDEEP,13096,50,1
STTSTJ,2025,1,AGRFDEEP,525,50,1
STTSTJ,2025,2,AGRFDEEP,120,50,1
STTSTJ,2025,0,AGRFSHLW,1749,50,1
STTSTJ,2025,1,AGRFSHLW,506,50,1
STTSTJ,2025,2,AGRFSHLW,260,50,1
STTSTJ,2025,0,BDRKDEEP,257,50,1
STTSTJ,2025,1,BDRKDEEP,9,50,1
STTSTJ,2025,2,BDRKDEEP,1,50,1
STTSTJ,2025,0,BDRKSHLW,2614,50,1
STTSTJ,2025,1,BDRKSHLW,434,50,1
STTSTJ,2025,2,BDRKSHLW,253,50,1
STTSTJ,2025,0,PTRFDEEP,1129,50,1
STTSTJ,2025,1,PTRFDEEP,364,50,1
STTSTJ,2025,2,PTRFDEEP,51,50,1
STTSTJ,2025,0,PTRFSHLW,177,50,1
STTSTJ,2025,1,PTRFSHLW,168,50,1
STTSTJ,2025,2,PTRFSHLW,94,50,1
STTSTJ,2025,0,PVMTDEEP,16201,50,1
STTSTJ,2025,1,PVMTDEEP,3076,50,1
STTSTJ,2025,2,PVMTDEEP,151,50,1
STTSTJ,2025,0,PVMTSHLW,4064,50,1
STTSTJ,2025,1,PVMTSHLW,1299,50,1
STTSTJ,2025,2,PVMTSHLW,334,50,1
STTSTJ,2025,0,SCRDEEP,2329,50,1
STTSTJ,2025,1,SCRDEEP,145,50,1
STTSTJ,2025,2,SCRDEEP,26,50,1
STTSTJ,2025,0,SCRSHLW,742,50,1
STTSTJ,2025,1,SCRSHLW,292,50,1
STTSTJ,2025,2,SCRSHLW,101,50,1
