OID_,STRATxPROT,FREQUENCY,UNIQUE_STRATxPROT
1,DEEPAGRFOPEN,13096,1
2,DEEPAGRFSTEER,120,1
3,DEEPAGRFVICR,174,1
4,DEEPAGRFVIIS,351,1
5,DEEPBDRKOPEN,257,1
6,DEEPBDRKSTEER,1,1
7,DEEPBDRKVIIS,9,1
8,DEEPPTRFOPEN,1129,1
9,DEEPPTRFSTEER,51,1
10,DEEPPTRFVICR,185,1
11,DEEPPTRFVIIS,179,1
12,DEEPPVMTOPEN,16201,1
13,DEEPPVMTSTEER,151,1
14,DEEPPVMTVICR,1307,1
15,DEEPPVMTVIIS,1769,1
16,DEEPSCROPEN,2329,1
17,DEEPSCRSTEER,26,1
18,DEEPSCRVICR,78,1
19,DEEPSCRVIIS,67,1
20,SHLWAGRFOPEN,1749,1
21,SHLWAGRFSTEER,260,1
22,SHLWAGRFVICR,115,1
23,SHLWAGRFVIIS,391,1
24,SHLWBDRKOPEN,2614,1
25,SHLWBDRKSTEER,253,1
26,SHLWBDRKVICR,64,1
27,SHLWBDRKVIIS,370,1
28,SHLWPTRFOPEN,177,1
29,SHLWPTRFSTEER,94,1
30,SHLWPTRFVICR,43,1
31,SHLWPTRFVIIS,125,1
32,SHLWPVMTOPEN,4064,1
33,SHLWPVMTSTEER,334,1
34,SHLWPVMTVICR,90,1
35,SHLWPVMTVIIS,1209,1
36,SHLWSCROPEN,742,1
37,SHLWSCRSTEER,101,1
38,SHLWSCRVICR,44,1
39,SHLWSCRVIIS,248,1
